姓名,性别,手机号,邮箱,微信号,居住地,求职意向,个人简介,教育经历,工作/实践经历,项目经验,技能特长,自我评价
张浩然,男,15966072670,zhanghaoran722@qq.com,wx_zhanghaoran_409,三明,"期望岗位：Python开发工程师
期望城市：三明
期望行业：互联网/信息技术/软件服务
期望薪资：面议",专科数学与应用数学专业应届毕业生，掌握Git、MongoDB基础技能，完成过课程设计与毕业项目，具备基础代码编写能力与问题排查思路，学习能力强，做事认真踏实，期望从事Python开发工程师相关工作。,"泉州经贸职业技术学院 | 数学与应用数学 | 专科
毕业时间：2022年6月
核心课程：数据库原理、算法设计与分析、机器学习、软件工程","【校园实践】
    · 参与学校计算机协会技术部，负责协会网站日常维护
    · 协助老师完成实验室设备管理与系统环境搭建
    · 参与班级课程设计小组，担任后端开发角色","■ 简单爬虫脚本开发
  项目目标：爬取公开网站数据并入库
  个人职责：负责反爬处理、数据清洗、SQLite存储
  项目成果：日均采集数据1万条","专业技能：Flask、Redis、Python、爬虫、Celery、MySQL
相关证书：计算机二级",应届毕业，具备扎实的专业基础知识与学习能力，能够快速掌握新技术；工作态度认真负责，有耐心，注重细节；具备良好的团队意识与沟通能力，能够积极配合团队完成任务；期望在工作中积累经验，快速成长。
胡子轩,男,18042303432,hu子xuan295@qq.com,13194739862,三明,"期望岗位：Java开发工程师
期望城市：三明
期望行业：互联网/信息技术/软件服务
期望薪资：面议",3年Java开发工程师从业经验，精通SpringCloud技术架构，主导过中型项目从0到1落地，擅长技术方案设计与性能优化，曾推动核心模块技术重构，带来显著效率提升，具备跨部门协作与项目推进能力。,"苏州大学 | 数学与应用数学 | 本科
毕业时间：2019年6月
核心课程：算法设计与分析、操作系统、机器学习、数据库原理","【云创数据技术有限公司】 Java开发工程师
2025年2月 - 至今
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 负责公司Java开发工程师相关业务的开发与维护，参与需求评审

【数聚软件有限公司】 Java开发工程师
2024年6月 - 2025年8月
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 负责公司Java开发工程师相关业务的开发与维护，参与需求评审","■ 电商订单交易系统
  项目目标：搭建高可用电商订单系统，支撑大促流量峰值
  个人职责：负责订单创建、支付回调、库存扣减核心逻辑开发
  项目成果：支撑日均订单量10万+，系统可用性达99.95%

■ 微服务用户中心重构
  项目目标：将单体用户系统拆分为微服务架构，提升并发承载能力
  个人职责：负责登录、注册、权限模块开发，优化数据库查询与缓存策略
  项目成果：支持并发量从500提升至5000，接口响应耗时减少60%","专业技能：MySQL、MyBatis、微服务、Docker、Linux、Redis、Java、JVM调优、SpringCloud
相关证书：软考中级、计算机二级",拥有3年行业经验，技术视野开阔，具备方案设计与项目把控能力；逻辑清晰，善于定位并解决复杂技术问题；具备良好的团队管理与跨部门沟通能力，能够推动技术优化与业务落地；责任心强，追求技术与业务的平衡发展。
邵超,男,15126688356,shaochao57@outlook.com,13792001560,宁波,"期望岗位：算法工程师
期望城市：宁波
期望行业：互联网/信息技术/软件服务
期望薪资：面议",5年算法工程师资深经验，精通全链路技术架构，具备团队技术规划与方案设计能力，主导过多个大型项目重构与升级，在高并发/系统稳定性领域有深厚积累，能够带领团队攻克技术难题，驱动业务技术升级。,"江西交通职业技术学院 | 网络工程 | 专科
毕业时间：2017年6月
核心课程：操作系统、算法设计与分析、数据结构、软件工程","【科创互联网科技有限公司】 算法工程师
2025年3月 - 至今
    · 负责公司算法工程师相关业务的开发与维护，参与需求评审
    · 对接产品、测试团队，跟进需求落地与缺陷修复

【通元信息技术有限公司】 算法工程师
2024年2月 - 2025年10月
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 负责公司算法工程师相关业务的开发与维护，参与需求评审
    · 对接产品、测试团队，跟进需求落地与缺陷修复

【微远软件有限公司】 算法工程师
2023年3月 - 2024年8月
    · 负责公司算法工程师相关业务的开发与维护，参与需求评审
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务","■ 个性化推荐系统
  项目目标：提升内容推荐精准度，增加用户停留时长
  个人职责：负责协同过滤、深度学习推荐模型开发与离线优化
  项目成果：用户平均停留时长提升25%，点击率提升15%

■ 风控欺诈识别模型
  项目目标：识别交易欺诈行为，降低资金损失风险
  个人职责：特征工程，构建XGBoost风控模型，在线部署与迭代
  项目成果：欺诈识别准确率达92%，每年减少损失超200万","专业技能：数据结构、Python、计算机视觉、特征工程、推荐算法、机器学习、PyTorch
相关证书：MySQL数据库认证",拥有5年行业经验，技术视野开阔，具备方案设计与项目把控能力；逻辑清晰，善于定位并解决复杂技术问题；具备良好的团队管理与跨部门沟通能力，能够推动技术优化与业务落地；责任心强，追求技术与业务的平衡发展。
任瑶,女,17625560207,renyao199@163.com,wx_renyao_471,南平,"期望岗位：Python开发工程师
期望城市：南平
期望行业：互联网/信息技术/软件服务
期望薪资：面议",2年Python开发工程师工作经验，精通MongoDB、Linux技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"东南大学 | 数字媒体技术 | 本科
毕业时间：2020年6月
核心课程：软件工程、数据结构、计算机网络、机器学习","【星图科技有限公司】 Python开发工程师
2025年3月 - 至今
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行

【启明科技有限公司】 Python开发工程师
2024年4月 - 2025年12月
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行","■ 自动化运维平台
  项目目标：开发运维管理平台，实现服务器批量管理
  个人职责：负责监控、告警、任务调度模块后端开发
  项目成果：管理服务器200+，运维人力成本降低50%

■ 数据采集爬虫系统
  项目目标：搭建分布式爬虫平台，采集多渠道公开数据
  个人职责：负责反爬策略破解、数据清洗、入库逻辑开发
  项目成果：日均采集数据50万条，数据准确率98%以上","专业技能：Flask、Linux、Redis、Django、MongoDB、FastAPI、Docker、Celery、MySQL、Git
相关证书：系统架构设计师、英语四级",拥有2年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
贺平,男,13710875521,heping52@gmail.com,18220116623,厦门,"期望岗位：后端开发工程师
期望城市：厦门
期望行业：互联网/信息技术/软件服务
期望薪资：面议",专科物联网工程专业应届毕业生，掌握微服务、Gin基础技能，完成过课程设计与毕业项目，具备基础代码编写能力与问题排查思路，学习能力强，做事认真踏实，期望从事后端开发工程师相关工作。,"深圳职业技术学院 | 物联网工程 | 专科
毕业时间：2022年6月
核心课程：数据库原理、计算机网络、算法设计与分析、操作系统","【校园实践】
    · 参与学校计算机协会技术部，负责协会网站日常维护
    · 协助老师完成实验室设备管理与系统环境搭建
    · 参与班级课程设计小组，担任后端开发角色","■ 简单论坛系统
  项目目标：实现帖子发布、回复、板块管理
  个人职责：负责后端服务开发与接口文档编写
  项目成果：支持百人同时在线访问","专业技能：PostgreSQL、Kafka、SpringBoot、Java
相关证书：计算机二级、软件设计师（中级）",应届毕业，具备扎实的专业基础知识与学习能力，能够快速掌握新技术；工作态度认真负责，有耐心，注重细节；具备良好的团队意识与沟通能力，能够积极配合团队完成任务；期望在工作中积累经验，快速成长。
李若曦,女,13305908644,li若xi896@gmail.com,wx_li若xi_767,杭州,"期望岗位：后端开发工程师
期望城市：杭州
期望行业：互联网/信息技术/软件服务
期望薪资：面议",1年后端开发工程师工作经验，精通Go、K8s技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"苏州科技大学 | 通信工程 | 本科
毕业时间：2021年6月
核心课程：Java程序设计、机器学习、计算机网络、数据库原理","【天擎信息技术有限公司】 后端开发工程师
2025年9月 - 至今
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务","■ 即时通讯服务开发
  项目目标：实现企业内部IM系统后端消息推送与存储
  个人职责：负责消息队列、离线消息、会话管理模块开发
  项目成果：支持万人同时在线，消息送达延迟低于100ms

■ 内容管理系统后端
  项目目标：搭建CMS系统后端服务，支持多站点内容发布
  个人职责：负责文章、栏目、权限模块接口开发，设计数据库表结构
  项目成果：支撑8个站点同时运营，内容发布效率提升3倍","专业技能：MySQL、微服务、SpringBoot、K8s、Gin、PostgreSQL、Kafka
相关证书：计算机一级",拥有1年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
史浩然,男,18805462236,shihaoran0313@163.com,15191149537,宁波,"期望岗位：前端开发工程师
期望城市：宁波
期望行业：互联网/信息技术/软件服务
期望薪资：面议",专科信息管理与信息系统专业应届毕业生，掌握React、Vue基础技能，完成过课程设计与毕业项目，具备基础代码编写能力与问题排查思路，学习能力强，做事认真踏实，期望从事前端开发工程师相关工作。,"苏州职业大学 | 信息管理与信息系统 | 专科
毕业时间：2022年6月
核心课程：软件工程、Python编程、计算机网络、数据结构","【校园实践】
    · 参与学校计算机协会技术部，负责协会网站日常维护
    · 协助老师完成实验室设备管理与系统环境搭建
    · 参与班级课程设计小组，担任后端开发角色","■ 校园社团官网（实训项目）
  项目目标：为学校社团开发官方展示网站
  个人职责：负责首页、新闻页、成员页开发
  项目成果：上线后访问量累计5000+","专业技能：Element UI、Vue、Vite、React、TypeScript
相关证书：阿里云ACP云计算认证",应届毕业，具备扎实的专业基础知识与学习能力，能够快速掌握新技术；工作态度认真负责，有耐心，注重细节；具备良好的团队意识与沟通能力，能够积极配合团队完成任务；期望在工作中积累经验，快速成长。
谭静,女,18402962657,tanjing27@163.com,18326321102,漳州,"期望岗位：软件测试工程师
期望城市：漳州
期望行业：互联网/信息技术/软件服务
期望薪资：面议",专科计算机应用技术专业应届毕业生，掌握JMeter、Appium基础技能，完成过课程设计与毕业项目，具备基础代码编写能力与问题排查思路，学习能力强，做事认真踏实，期望从事软件测试工程师相关工作。,"苏州职业大学 | 计算机应用技术 | 专科
毕业时间：2022年6月
核心课程：Python编程、机器学习、操作系统、算法设计与分析","【校园实践】
    · 参与学校计算机协会技术部，负责协会网站日常维护
    · 协助老师完成实验室设备管理与系统环境搭建
    · 参与班级课程设计小组，担任后端开发角色","■ 网页兼容性测试实训
  项目目标：对多个网站进行浏览器兼容测试
  个人职责：制定测试方案，输出测试报告
  项目成果：覆盖5款主流浏览器","专业技能：JMeter、Python、TestNG、功能测试、Postman、缺陷管理
相关证书：无",应届毕业，具备扎实的专业基础知识与学习能力，能够快速掌握新技术；工作态度认真负责，有耐心，注重细节；具备良好的团队意识与沟通能力，能够积极配合团队完成任务；期望在工作中积累经验，快速成长。
梁妍,女,15548887503,liangyan6861@163.com,18149224922,南京,"期望岗位：前端开发工程师
期望城市：南京
期望行业：互联网/信息技术/软件服务
期望薪资：面议",2年前端开发工程师工作经验，精通Webpack、Webpack技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"南京理工大学 | 信息管理与信息系统 | 本科
毕业时间：2020年6月
核心课程：机器学习、数据库原理、Java程序设计、算法设计与分析","【金蝶数据技术有限公司】 前端开发工程师
2025年6月 - 至今
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 负责公司前端开发工程师相关业务的开发与维护，参与需求评审

【卓望数据技术有限公司】 前端开发工程师
2024年9月 - 2025年10月
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 负责公司前端开发工程师相关业务的开发与维护，参与需求评审","■ 企业后台管理系统
  项目目标：搭建企业运营管理后台，实现业务数据可视化
  个人职责：负责权限管理、数据报表模块开发，对接后端接口联调
  项目成果：覆盖12个业务部门，运营效率提升40%

■ 电商平台前端重构
  项目目标：升级旧版电商系统前端架构，提升用户体验与加载速度
  个人职责：负责商品详情页、购物车模块开发，组件化封装公共组件
  项目成果：首屏加载时间从3.2s降至1.8s，页面转化率提升12%","专业技能：Element UI、HTML5、JavaScript、Vite、React、CSS3、Vue、Axios、Webpack、TypeScript
相关证书：MySQL数据库认证、系统架构设计师",拥有2年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
吕琳,女,13758244942,lvlin0247@outlook.com,17710298709,深圳,"期望岗位：算法工程师
期望城市：深圳
期望行业：互联网/信息技术/软件服务
期望薪资：面议",3年算法工程师从业经验，精通Python技术架构，主导过中型项目从0到1落地，擅长技术方案设计与性能优化，曾推动核心模块技术重构，带来显著效率提升，具备跨部门协作与项目推进能力。,"南京工程学院 | 电子信息工程 | 本科
毕业时间：2019年6月
核心课程：软件工程、数字信号处理、计算机网络、数据库原理","【合众网络科技有限公司】 算法工程师
2025年8月 - 至今
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行

【卓望科技有限公司】 算法工程师
2024年3月 - 2025年8月
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 对接产品、测试团队，跟进需求落地与缺陷修复","■ 个性化推荐系统
  项目目标：提升内容推荐精准度，增加用户停留时长
  个人职责：负责协同过滤、深度学习推荐模型开发与离线优化
  项目成果：用户平均停留时长提升25%，点击率提升15%

■ 风控欺诈识别模型
  项目目标：识别交易欺诈行为，降低资金损失风险
  个人职责：特征工程，构建XGBoost风控模型，在线部署与迭代
  项目成果：欺诈识别准确率达92%，每年减少损失超200万","专业技能：推荐算法、机器学习、NLP、计算机视觉、SQL、PyTorch、深度学习
相关证书：软考中级",拥有3年行业经验，技术视野开阔，具备方案设计与项目把控能力；逻辑清晰，善于定位并解决复杂技术问题；具备良好的团队管理与跨部门沟通能力，能够推动技术优化与业务落地；责任心强，追求技术与业务的平衡发展。
潘杰,男,18135495734,panjie7248@126.com,15373219119,莆田,"期望岗位：前端开发工程师
期望城市：莆田
期望行业：互联网/信息技术/软件服务
期望薪资：面议",本科电子信息工程专业应届毕业生，有1段前端开发工程师实习经验，掌握Vue技术栈，参与过实习项目开发，具备良好的代码规范与团队协作意识，能够快速上手业务，期望正式入职发展。,"厦门理工学院 | 电子信息工程 | 本科
毕业时间：2021年6月
核心课程：算法设计与分析、软件工程、Java程序设计、数字信号处理","【星图信息技术有限公司】 前端开发工程师（实习）
2025年4月 - 至今
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 负责公司前端开发工程师相关业务的开发与维护，参与需求评审","■ 校园社团官网（实训项目）
  项目目标：为学校社团开发官方展示网站
  个人职责：负责首页、新闻页、成员页开发
  项目成果：上线后访问量累计5000+

■ 个人博客系统（课程作业）
  项目目标：开发个人博客前端页面，实现文章展示与评论
  个人职责：负责页面布局、交互效果、接口联调
  项目成果：完成响应式页面，兼容多浏览器","专业技能：Vite、Ant Design、JavaScript、TypeScript、React、Webpack
相关证书：英语六级、PMP项目管理专业人士、英语四级",有实习经验，熟悉开发基本流程，具备基础的项目实践能力；学习能力强，能够快速上手新业务新技术；工作踏实，责任心强，善于沟通协作，能够高效完成分配的工作任务。
任鑫,男,15306152354,renxin8434@qq.com,18437871408,宁波,"期望岗位：后端开发工程师
期望城市：宁波
期望行业：互联网/信息技术/软件服务
期望薪资：面议",本科数据科学与大数据技术专业应届毕业生，有0段后端开发工程师实习经验，掌握Redis技术栈，参与过实习项目开发，具备良好的代码规范与团队协作意识，能够快速上手业务，期望正式入职发展。,"南昌大学 | 数据科学与大数据技术 | 本科
毕业时间：2022年6月
核心课程：机器学习、数据库原理、数据结构、计算机网络","【汇智信息技术有限公司】 后端开发工程师（实习）
2023年11月 - 至今
    · 负责公司后端开发工程师相关业务的开发与维护，参与需求评审
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行","■ 简单论坛系统
  项目目标：实现帖子发布、回复、板块管理
  个人职责：负责后端服务开发与接口文档编写
  项目成果：支持百人同时在线访问

■ 图书管理系统后端
  项目目标：实现图书借阅、归还、用户管理功能
  个人职责：负责接口开发与数据库表结构设计
  项目成果：完成核心功能，支持1000条数据量","专业技能：K8s、Python、PostgreSQL、SpringBoot、Kafka、Redis
相关证书：英语四级",有实习经验，熟悉开发基本流程，具备基础的项目实践能力；学习能力强，能够快速上手新业务新技术；工作踏实，责任心强，善于沟通协作，能够高效完成分配的工作任务。
熊梓轩,男,18777134699,xiong梓xuan79@gmail.com,wx_xiong梓xuan_934,广州,"期望岗位：运维工程师
期望城市：广州
期望行业：互联网/信息技术/软件服务
期望薪资：面议",专科计算机科学与技术专业应届毕业生，掌握Docker、Shell基础技能，完成过课程设计与毕业项目，具备基础代码编写能力与问题排查思路，学习能力强，做事认真踏实，期望从事运维工程师相关工作。,"江西交通职业技术学院 | 计算机科学与技术 | 专科
毕业时间：2022年6月
核心课程：操作系统、数据库原理、计算机网络、Java程序设计","【校园实践】
    · 参与学校计算机协会技术部，负责协会网站日常维护
    · 协助老师完成实验室设备管理与系统环境搭建
    · 参与班级课程设计小组，担任后端开发角色","■ 实验室服务器搭建实训
  项目目标：搭建实验室Linux服务器环境
  个人职责：负责系统安装、网络配置、基础服务部署
  项目成果：完成3台服务器环境搭建","专业技能：Shell、Kubernetes、Ansible、MySQL、Docker、Redis、Jenkins
相关证书：软件设计师（中级）",应届毕业，具备扎实的专业基础知识与学习能力，能够快速掌握新技术；工作态度认真负责，有耐心，注重细节；具备良好的团队意识与沟通能力，能够积极配合团队完成任务；期望在工作中积累经验，快速成长。
于阳,男,13954850175,yuyang85@outlook.com,wx_yuyang_405,漳州,"期望岗位：Python开发工程师
期望城市：漳州
期望行业：互联网/信息技术/软件服务
期望薪资：面议",专科通信工程专业应届毕业生，掌握MySQL、MySQL基础技能，完成过课程设计与毕业项目，具备基础代码编写能力与问题排查思路，学习能力强，做事认真踏实，期望从事Python开发工程师相关工作。,"江西交通职业技术学院 | 通信工程 | 专科
毕业时间：2022年6月
核心课程：计算机网络、软件工程、数据结构、算法设计与分析","【校园实践】
    · 参与学校计算机协会技术部，负责协会网站日常维护
    · 协助老师完成实验室设备管理与系统环境搭建
    · 参与班级课程设计小组，担任后端开发角色","■ 自动化办公脚本
  项目目标：批量处理Excel表格数据
  个人职责：实现数据合并、格式转换、自动统计
  项目成果：提升人工效率80%","专业技能：Celery、Docker、Git、Flask、Python、Linux、FastAPI
相关证书：英语四级",应届毕业，具备扎实的专业基础知识与学习能力，能够快速掌握新技术；工作态度认真负责，有耐心，注重细节；具备良好的团队意识与沟通能力，能够积极配合团队完成任务；期望在工作中积累经验，快速成长。
姚娟,女,15852994443,yaojuan5094@gmail.com,wx_yaojuan_650,福州,"期望岗位：软件测试工程师
期望城市：福州
期望行业：互联网/信息技术/软件服务
期望薪资：面议",4年软件测试工程师从业经验，精通Selenium技术架构，主导过中型项目从0到1落地，擅长技术方案设计与性能优化，曾推动核心模块技术重构，带来显著效率提升，具备跨部门协作与项目推进能力。,"南昌大学 | 电子信息工程 | 本科
毕业时间：2018年6月
核心课程：软件工程、计算机网络、Python编程、数字信号处理","【未来数据技术有限公司】 软件测试工程师
2024年7月 - 至今
    · 负责公司软件测试工程师相关业务的开发与维护，参与需求评审
    · 对接产品、测试团队，跟进需求落地与缺陷修复

【新科科技有限公司】 软件测试工程师
2022年2月 - 2024年6月
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行","■ 自动化测试框架搭建
  项目目标：提升回归测试效率，减少人工重复劳动
  个人职责：基于Selenium搭建UI自动化框架，编写核心模块测试脚本
  项目成果：回归测试周期从7天缩短至2天，覆盖率达85%

■ 电商平台功能测试
  项目目标：保障电商系统上线质量，覆盖全业务流程
  个人职责：设计测试用例，执行功能、回归测试，提交缺陷报告
  项目成果：发现并修复120+缺陷，上线后线上缺陷率低于0.5%","专业技能：缺陷管理、Appium、Python、功能测试、JMeter、接口测试、性能测试、TestNG、Selenium
相关证书：英语四级、红帽RHCE认证",拥有4年行业经验，技术视野开阔，具备方案设计与项目把控能力；逻辑清晰，善于定位并解决复杂技术问题；具备良好的团队管理与跨部门沟通能力，能够推动技术优化与业务落地；责任心强，追求技术与业务的平衡发展。
任梓涵,女,18694300582,ren梓han99@126.com,13776722905,漳州,"期望岗位：算法工程师
期望城市：漳州
期望行业：互联网/信息技术/软件服务
期望薪资：面议",专科计算机科学与技术专业应届毕业生，有1段算法工程师实习经验，掌握SQL技术栈，参与过实习项目开发，具备良好的代码规范与团队协作意识，能够快速上手业务，期望正式入职发展。,"南京工业职业技术大学 | 计算机科学与技术 | 专科
毕业时间：2021年6月
核心课程：数据库原理、Python编程、操作系统、算法设计与分析","【安硕互联网科技有限公司】 算法工程师（实习）
2025年7月 - 至今
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 负责公司算法工程师相关业务的开发与维护，参与需求评审
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行","■ 电影推荐系统（毕设）
  项目目标：基于协同过滤实现简单电影推荐
  个人职责：数据处理、模型实现、效果验证
  项目成果：召回准确率达到75%

■ 手写数字识别（课程作业）
  项目目标：基于MNIST数据集实现手写数字识别
  个人职责：使用CNN搭建模型，训练与调优
  项目成果：识别准确率达到92%","专业技能：数据结构、Python、计算机视觉、机器学习、算法优化
相关证书：计算机一级、英语四级",有实习经验，熟悉开发基本流程，具备基础的项目实践能力；学习能力强，能够快速上手新业务新技术；工作踏实，责任心强，善于沟通协作，能够高效完成分配的工作任务。
程强,男,15552142694,chengqiang215@gmail.com,wx_chengqiang_835,厦门,"期望岗位：Python开发工程师
期望城市：厦门
期望行业：互联网/信息技术/软件服务
期望薪资：面议",4年Python开发工程师从业经验，精通FastAPI技术架构，主导过中型项目从0到1落地，擅长技术方案设计与性能优化，曾推动核心模块技术重构，带来显著效率提升，具备跨部门协作与项目推进能力。,"南昌大学 | 通信工程 | 本科
毕业时间：2018年6月
核心课程：软件工程、算法设计与分析、Java程序设计、计算机网络","【星图信息技术有限公司】 Python开发工程师
2024年3月 - 至今
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务

【数聚信息技术有限公司】 Python开发工程师
2022年10月 - 2024年4月
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 对接产品、测试团队，跟进需求落地与缺陷修复","■ 自动化运维平台
  项目目标：开发运维管理平台，实现服务器批量管理
  个人职责：负责监控、告警、任务调度模块后端开发
  项目成果：管理服务器200+，运维人力成本降低50%

■ 数据采集爬虫系统
  项目目标：搭建分布式爬虫平台，采集多渠道公开数据
  个人职责：负责反爬策略破解、数据清洗、入库逻辑开发
  项目成果：日均采集数据50万条，数据准确率98%以上","专业技能：Redis、Git、FastAPI、Flask、Linux、MySQL、Celery
相关证书：阿里云ACP云计算认证、软考中级、PMP项目管理专业人士",拥有4年行业经验，技术视野开阔，具备方案设计与项目把控能力；逻辑清晰，善于定位并解决复杂技术问题；具备良好的团队管理与跨部门沟通能力，能够推动技术优化与业务落地；责任心强，追求技术与业务的平衡发展。
向宇,男,18144743116,xiangyu41@outlook.com,15724667797,泉州,"期望岗位：数据分析师
期望城市：泉州
期望行业：互联网/信息技术/软件服务
期望薪资：面议",3年数据分析师工作经验，精通MySQL、Excel技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"苏州大学 | 网络工程 | 本科
毕业时间：2019年6月
核心课程：软件工程、计算机网络、Java程序设计、算法设计与分析","【亿联网络】 数据分析师
2025年12月 - 至今
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 对接产品、测试团队，跟进需求落地与缺陷修复

【星图互联网科技有限公司】 数据分析师
2024年6月 - 2025年10月
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 负责公司数据分析师相关业务的开发与维护，参与需求评审
    · 对接产品、测试团队，跟进需求落地与缺陷修复","■ 用户行为分析看板
  项目目标：构建用户行为数据体系，支撑运营决策
  个人职责：负责数据清洗、指标体系搭建，输出可视化运营报表
  项目成果：输出15+核心运营指标，支撑每月3次运营优化，用户留存率提升8%

■ 销售数据预测建模
  项目目标：基于历史数据预测销量，指导库存与备货
  个人职责：数据预处理，构建时间序列预测模型，输出月度预测报告
  项目成果：预测准确率达89%，库存周转效率提升25%","专业技能：统计学、用户分析、Hive、Tableau、数据可视化、NumPy、Pandas、MySQL、Python、Power BI
相关证书：MySQL数据库认证",拥有3年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
周然,男,15877564889,zhouran0855@126.com,wx_zhouran_983,泉州,"期望岗位：前端开发工程师
期望城市：泉州
期望行业：互联网/信息技术/软件服务
期望薪资：面议",1年前端开发工程师工作经验，精通Ant Design、Axios技术栈，参与过完整项目迭代，能够独立完成模块开发与问题排查，注重代码质量与开发效率，具备良好的沟通协作能力。,"江西师范大学 | 数学与应用数学 | 本科
毕业时间：2021年6月
核心课程：数据库原理、操作系统、软件工程、Python编程","【微远数据技术有限公司】 前端开发工程师
2025年10月 - 至今
    · 对接产品、测试团队，跟进需求落地与缺陷修复
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行","■ 电商平台前端重构
  项目目标：升级旧版电商系统前端架构，提升用户体验与加载速度
  个人职责：负责商品详情页、购物车模块开发，组件化封装公共组件
  项目成果：首屏加载时间从3.2s降至1.8s，页面转化率提升12%

■ 企业后台管理系统
  项目目标：搭建企业运营管理后台，实现业务数据可视化
  个人职责：负责权限管理、数据报表模块开发，对接后端接口联调
  项目成果：覆盖12个业务部门，运营效率提升40%","专业技能：Vue、Ant Design、Axios、Element UI、TypeScript、Webpack、HTML5
相关证书：软考中级",拥有1年实际工作经验，技术功底扎实，熟悉完整开发流程；具备较强的问题解决能力，能够独立排查并解决常见技术问题；工作认真负责，注重团队协作，能够高效推进项目落地；持续学习，保持技术敏感度。
沈娟,女,13070506754,shenjuan14@gmail.com,wx_shenjuan_526,珠海,"期望岗位：软件测试工程师
期望城市：珠海
期望行业：互联网/信息技术/软件服务
期望薪资：面议",本科计算机应用技术专业应届毕业生，有0段软件测试工程师实习经验，掌握Selenium技术栈，参与过实习项目开发，具备良好的代码规范与团队协作意识，能够快速上手业务，期望正式入职发展。,"苏州大学 | 计算机应用技术 | 本科
毕业时间：2022年6月
核心课程：数据结构、Python编程、软件工程、算法设计与分析","【云创软件有限公司】 软件测试工程师（实习）
2019年12月 - 至今
    · 编写开发文档，沉淀技术规范，协助新人熟悉业务
    · 负责公司软件测试工程师相关业务的开发与维护，参与需求评审
    · 承担分配模块的编码、测试与优化工作，保障系统稳定运行","■ 网页兼容性测试实训
  项目目标：对多个网站进行浏览器兼容测试
  个人职责：制定测试方案，输出测试报告
  项目成果：覆盖5款主流浏览器

■ 学生管理系统功能测试
  项目目标：对课程设计系统进行功能测试与缺陷提交
  个人职责：设计测试用例，执行黑盒测试
  项目成果：发现并提交8个功能缺陷","专业技能：MySQL、TestNG、性能测试、测试用例设计、接口测试
相关证书：无",有实习经验，熟悉开发基本流程，具备基础的项目实践能力；学习能力强，能够快速上手新业务新技术；工作踏实，责任心强，善于沟通协作，能够高效完成分配的工作任务。
