简历ID,简历姓名,期望岗位,期望城市,排名,岗位名称,公司,城市,岗位薪资,总分,技能分,经验分,学历分,地域分,薪资分,专证分,系统推荐理由,人工判断(相关/一般/不相关),备注
R351,石佳怡,后端开发工程师,宁德,2,高级Java架构师,福建亿安智能技术股份有限公司,福州,15000-20000元·13薪,76.47,57.02,80.0,100.0,85.0,100.0,80.0,技能命中 7/13（Java、Kafka、Kubernetes、MySQL、PostgreSQL、Redis）；经验不足（要求 ≥5 年，你有 4 年）；宁德 → 福州 约 71km。｜提醒：技能匹配度最低（命中 7/13）,,
R351,石佳怡,后端开发工程师,宁德,3,后端开发,厦门集方物联信息技术有限公司,厦门,9000-13000元·13薪,76.29,57.61,100.0,100.0,60.0,100.0,80.0,技能命中 5/7（Golang、Java、Kafka、Python、Redis）；经验满足（要求 3-5 年，你有 4 年）；学历满足（要求本科，你本科）。｜提醒：技能匹配度最低（命中 5/7）,,
R351,石佳怡,后端开发工程师,宁德,4,Java开发工程师,合肥凯捷技术有限公司,厦门,10000-12000元,76.26,57.52,100.0,100.0,60.0,100.0,80.0,技能命中 2/2（Java、MySQL）；经验满足（要求 3-5 年，你有 4 年）；学历满足（要求大专，你本科）。｜提醒：技能匹配度最低（命中 2/2）,,
R351,石佳怡,后端开发工程师,宁德,5,golang开发工程师,厦门亿联网络技术股份有限公司,厦门,15000-20000元·16薪,76.14,57.21,100.0,100.0,60.0,100.0,80.0,技能命中 6/12（Gin、Golang、Kafka、Kubernetes、MySQL、Redis）；经验满足（要求 3-5 年，你有 4 年）；学历满足（要求本科，你本科）。｜提醒：技能匹配度最低（命中 6/12）,,
R401,萧然,Java开发工程师,杭州,1,软件开发工程师【缴纳五险一金】,苏州汇思企业服务有限公司,苏州,7000-12000元,79.78,66.0,100.0,100.0,60.0,100.0,85.0,技能命中 3/3（Java、MyBatis、SpringBoot）；经验满足（要求 1-3 年，你有 5 年）；学历满足（要求本科，你本科）。｜提醒：跨城（约 121km）,,
R401,萧然,Java开发工程师,杭州,2,java开发工程师（宁波）,北京神州数字科技有限公司,宁波,10000-15000元,77.35,57.23,100.0,100.0,60.0,100.0,100.0,技能命中 3/4（Java、SpringBoot、SpringCloud）；经验满足（要求 3-5 年，你有 5 年）；学历满足（要求本科，你本科）。｜提醒：技能匹配度最低（命中 3/4）,,
R401,萧然,Java开发工程师,杭州,3,java开发工程师,博彦科技承德有限公司,宁波,13000-19000元,76.4,54.73,100.0,100.0,60.0,100.0,100.0,技能命中 7/14（Docker、Java、Linux、MyBatis、RabbitMQ、Redis）；经验满足（要求 5-10 年，你有 5 年）；学历满足（要求本科，你本科）。｜提醒：技能匹配度最低（命中 7/14）,,
R401,萧然,Java开发工程师,杭州,4,昆山全栈工程师（wai包）,郑州海奥软件科技有限公司,苏州,9000-12000元,76.27,54.4,100.0,100.0,60.0,100.0,100.0,技能命中 5/8（Java、Linux、MyBatis、Redis、SpringCloud）；经验满足（要求 3-5 年，你有 5 年）；学历满足（要求本科，你本科）。｜提醒：技能匹配度最低（命中 5/8）,,
R401,萧然,Java开发工程师,杭州,5,java工程师（福州）,北京神州数字科技有限公司,福州,8000-12000元,76.17,69.13,100.0,100.0,30.0,100.0,85.0,技能命中 3/3（Java、SpringBoot、SpringCloud）；经验满足（要求 3-5 年，你有 5 年）；学历满足（要求本科，你本科）。｜提醒：跨城（约 475km）,,
R451,萧雪,后端开发工程师,镇江,1,java后端工程师,厦门东思信息技术有限公司,厦门,9000-15000元,62.67,58.61,60.0,100.0,30.0,80.0,80.0,技能命中 6/12（Java、Kubernetes、MySQL、Redis、SpringBoot、微服务）；学历满足（要求不限，你大专）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：跨城（约 867km）,,
R451,萧雪,后端开发工程师,镇江,2,Java,安徽省即幂人工智能科技有限公司,滁州,4000-5000元,61.83,43.77,60.0,100.0,60.0,80.0,80.0,技能命中 2/3（Java、MySQL）；学历满足（要求不限，你大专）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：技能匹配度最低（命中 2/3）,,
R451,萧雪,后端开发工程师,镇江,3,软件培训工程师,厦门瀚海潮升科技有限公司,厦门,4000-5000元·13薪,60.44,65.38,60.0,60.0,30.0,80.0,80.0,技能命中 2/2（Java、SpringBoot）；岗位经验要求未能解析（按信息缺失中性处理）；薪资信息不全（按中性处理）。｜提醒：跨城（约 867km）,,
R451,萧雪,后端开发工程师,镇江,4,软件测试工程师（培养）,天阳科技,湖州,5000-7000元,59.81,51.07,60.0,60.0,60.0,80.0,80.0,技能命中 4/7（Java、MySQL、Redis、微服务）；岗位经验要求未能解析（按信息缺失中性处理）；镇江 → 湖州 约 158km。｜提醒：技能匹配度最低（命中 4/7）,,
R451,萧雪,后端开发工程师,镇江,5,全栈开发工程师,苏州市哆哆鲤科技有限责任公司,苏州,2-15000元·5薪,59.15,36.72,60.0,100.0,60.0,80.0,80.0,技能命中 5/18（Java、Kubernetes、MySQL、Redis、SpringBoot）；学历满足（要求不限，你大专）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：技能匹配度最低（命中 5/18）,,
