简历ID,简历姓名,期望岗位,期望城市,排名,总分,技能,经验,学历,地域,薪资,专业证书,岗位ID,岗位名称,公司,城市,岗位薪资,经验要求,学历要求,技能标签,技能命中数,岗位技能要求数,余弦分,距离km,推荐理由
R101,杜杰,前端开发工程师,金华,5,65.96,53.31,60.0,100.0,60.0,100.0,55.0,J7803,HTML5,安软科技集团有限公司,苏州,15000-16000元,JavaScript,大专,Vue|React|前端工程化||,4,9,50.6,262.5,技能命中 4/9（CSS、HTML、JavaScript、Webpack）；学历满足（要求大专，你本科）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：技能匹配度最低（命中 4/9）
R151,郑悦,前端开发工程师,宁波,1,84.58,62.59,100.0,100.0,100.0,100.0,80.0,J4215,web前端工程师,燧浦(上海)智能科技有限公司,宁波,11000-13000元,1-3年,本科,HTML5|JavaScript|CSS|Vue||||||||||,6,10,59.7,0.0,技能命中 6/10（CSS、Element UI、JavaScript、React、TypeScript、Vite）；经验满足（要求 1-3 年，你有 3 年）；同城（宁波）。｜提醒：技能匹配度最低（命中 6/10）
R151,郑悦,前端开发工程师,宁波,2,82.85,58.02,100.0,100.0,100.0,100.0,80.0,J4220,前端开发（半年短期需本科）,广东善世企业服务集团有限公司,宁波,15000-19000元,3-5年,本科,React|Vue|购买五险一金,5,8,51.3,0.0,技能命中 5/8（CSS、JavaScript、React、TypeScript、Vite）；经验满足（要求 3-5 年，你有 3 年）；同城（宁波）。｜提醒：技能匹配度最低（命中 5/8）
R151,郑悦,前端开发工程师,宁波,3,80.82,52.68,100.0,100.0,100.0,100.0,80.0,J4366,全栈工程师,湖北聚博汇人力资源有限公司,宁波,20000-30000元,3-5年,本科,前端开发|后端开发|AI CODING|||||||||||,6,13,49.5,0.0,技能命中 6/13（CSS、Element UI、JavaScript、React、TypeScript、Vite）；经验满足（要求 3-5 年，你有 3 年）；同城（宁波）。｜提醒：技能匹配度最低（命中 6/13）
R151,郑悦,前端开发工程师,宁波,4,78.96,64.62,100.0,100.0,60.0,100.0,80.0,J7717,web前端开发工程师,邦鼎智能科技(苏州)有限公司,苏州,9000-14000元,1-3年,本科,JavaScript|Vue|ElementUI|,4,5,55.0,184.1,技能命中 4/5（Element UI、JavaScript、React、TypeScript）；经验满足（要求 1-3 年，你有 3 年）；学历满足（要求本科，你本科）。｜提醒：跨城（约 184km）
R151,郑悦,前端开发工程师,宁波,5,78.38,46.26,100.0,100.0,100.0,100.0,80.0,J4246,html5前端开发,宁波东方理工科技发展有限公司,宁波,13000-14000元,1-3年,大专,CSS|JavaScript|Vue|React|||,4,8,40.6,0.0,经验满足（要求 1-3 年，你有 3 年）；技能命中 4/8（CSS、JavaScript、React、Vite）；同城（宁波）。｜提醒：技能匹配度最低（命中 4/8）
R201,杜慧,软件测试工程师,南通,1,71.19,62.35,60.0,100.0,60.0,100.0,85.0,J4441,质量管理测试,四川思美瑞人力资源管理有限公司,宁波,7000-12000元,接受出差,中专/中技,法定节假日|六险一金|||||,2,2,32.9,242.9,技能命中 2/2（Python、功能测试）；学历满足（要求中专，你本科）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：经验是短板（岗位要求未能解析）
R201,杜慧,软件测试工程师,南通,2,68.79,26.54,100.0,100.0,85.0,100.0,85.0,J7455,软件开发+不限语言（全程线上+双休+全额社保）,外企德科数字技术有限公司,苏州,13000-26000元·14薪,不限经验,本科,接受考研考公失利|全额社保,2,6,13.4,81.1,岗位经验不限；南通 → 苏州 约 81km；学历满足（要求本科，你本科）。｜提醒：技能匹配度最低（命中 2/6）
R201,杜慧,软件测试工程师,南通,3,66.39,62.35,60.0,100.0,30.0,100.0,85.0,J0253,游戏测试【2027校招】,4399,厦门,7000-10000元,功能测试,本科,,2,2,32.9,877.8,技能命中 2/2（Python、功能测试）；学历满足（要求本科，你本科）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：跨城（约 878km）
R201,杜慧,软件测试工程师,南通,4,65.24,36.16,60.0,100.0,85.0,100.0,85.0,J3610,测试类电子工程师,江苏星连达精密工业设备有限公司,苏州,6000-12000元,软件测试,大专,硬件测试|功能测试,2,4,19.9,81.1,技能命中 2/4（Python、功能测试）；南通 → 苏州 约 81km；学历满足（要求大专，你本科）。｜提醒：技能匹配度最低（命中 2/4）
R201,杜慧,软件测试工程师,南通,5,64.97,35.44,60.0,100.0,85.0,100.0,85.0,J3598,FPC/PCBA产品治具测试工程师,江苏星连达精密工业设备有限公司,苏州,6000-12000元,功能测试,大专,整机测试|电气机械/电力设备,2,4,18.1,81.1,南通 → 苏州 约 81km；技能命中 2/4（Python、功能测试）；学历满足（要求大专，你本科）。｜提醒：技能匹配度最低（命中 2/4）
R251,秦思琪,Java开发工程师,泉州,1,74.01,55.28,60.0,100.0,100.0,100.0,70.0,J2769,后端开发工程师JAVA,泉州市本去电子商务有限公司,泉州,11000-18000元·13薪,后端开发,,Java|跨境电商|Spring||||,5,9,47.7,0.0,技能命中 5/9（Java、MyBatis、MySQL、RabbitMQ、Redis）；同城（泉州）；学历满足（要求不限，你大专）。｜提醒：技能匹配度最低（命中 5/9）
R251,秦思琪,Java开发工程师,泉州,2,69.66,45.42,60.0,100.0,85.0,100.0,100.0,J0040,java后端工程师,厦门东思信息技术有限公司,厦门,9000-15000元,Java,,,5,12,37.6,73.7,技能命中 5/12（Java、MyBatis、MySQL、Redis、SpringBoot）；泉州 → 厦门 约 74km；学历满足（要求不限，你大专）。｜提醒：技能匹配度最低（命中 5/12）
R251,秦思琪,Java开发工程师,泉州,3,68.36,63.4,60.0,60.0,85.0,66.67,100.0,J0064,软件培训工程师,厦门瀚海潮升科技有限公司,厦门,4000-5000元·13薪,职业与技能培训,本科,IT培训|系统培训|线上培训|||,2,2,40.7,73.7,技能命中 2/2（Java、SpringBoot）；泉州 → 厦门 约 74km；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：经验是短板（岗位要求未能解析）
R251,秦思琪,Java开发工程师,泉州,4,67.63,48.15,60.0,60.0,100.0,93.33,100.0,J2886,嵌入式软件工程师,泉州市朗旭电子科技有限公司,泉州,5000-7000元,C语言,本科,C++|ARM处理器|32位单片机|||,5,11,40.5,0.0,技能命中 5/11（Java、MyBatis、MySQL、RabbitMQ、Redis）；同城（泉州）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：技能匹配度最低（命中 5/11）
R251,秦思琪,Java开发工程师,泉州,5,66.79,42.61,60.0,100.0,85.0,100.0,70.0,J0177,系统工程师,宫崎科技(厦门)有限公司,厦门,13000-14000元,软件/IT服务,,,2,3,23.7,73.7,技能命中 2/3（Java、MySQL）；泉州 → 厦门 约 74km；学历满足（要求不限，你大专）。｜提醒：技能匹配度最低（命中 2/3）
R301,傅思远,数据分析师,阜阳,1,73.35,62.49,100.0,100.0,30.0,100.0,80.0,J7703,软件工程师,苏州市东拓新能源有限公司,苏州,8000-15000元,3-5年,本科,,3,3,37.7,482.8,技能命中 3/3（Python、SQL、数据可视化）；经验满足（要求 3-5 年，你有 3 年）；学历满足（要求本科，你本科）。｜提醒：跨城（约 483km）
R301,傅思远,数据分析师,阜阳,2,72.61,60.55,100.0,100.0,30.0,100.0,80.0,J2237,（LPO）设备工程师,锐捷网络股份有限公司,福州,8000-15000元·14薪,3-5年,大专,半导体设备校验|半导体设备维护保养||||||||||,2,2,37.4,830.0,技能命中 2/2（Hive、SQL）；经验满足（要求 3-5 年，你有 3 年）；学历满足（要求大专，你本科）。｜提醒：跨城（约 830km）
R301,傅思远,数据分析师,阜阳,3,72.2,55.35,100.0,100.0,60.0,85.71,50.0,J6658,电商全渠道平台运营与策划+高提成+社保+工作餐,安徽果不离生物科技有限公司,安庆,5000-6000元,3-5年,本科,电商平台|食品/饮料/酒水批发/零售/贸易|||,2,2,24.4,289.5,技能命中 2/2（Excel、SQL）；经验满足（要求 3-5 年，你有 3 年）；学历满足（要求本科，你本科）。｜提醒：专业/证书与岗位方向关联弱
R301,傅思远,数据分析师,阜阳,4,71.93,58.77,100.0,100.0,30.0,100.0,80.0,J0412,制造工程师-S17,友达光电(厦门)有限公司,厦门,7000-12000元·13薪,1-3年,本科,半导体/芯片|管理干部培训,3,3,28.4,961.1,技能命中 3/3（Excel、Python、SQL）；经验满足（要求 1-3 年，你有 3 年）；学历满足（要求本科，你本科）。｜提醒：跨城（约 961km）
R301,傅思远,数据分析师,阜阳,5,71.93,58.77,100.0,100.0,30.0,100.0,80.0,J0420,生产制造工程师,友达智慧行动系统(厦门)有限公司,厦门,9000-15000元·13薪,3-5年,本科,电气机械/电力设备|管理干部培训,3,3,28.4,961.1,技能命中 3/3（Excel、Python、SQL）；经验满足（要求 3-5 年，你有 3 年）；学历满足（要求本科，你本科）。｜提醒：跨城（约 961km）
R351,石佳怡,后端开发工程师,宁德,1,78.09,56.56,100.0,100.0,85.0,100.0,50.0,J1308,后端开发工程师（AI 工具方向）,福州斯博联科信息技术有限公司,福州,7000-12000元·13薪,1-3年,本科,Java|产业互联网平台|互联网电商||,2,2,27.4,71.2,技能命中 2/2（Java、Python）；经验满足（要求 1-3 年，你有 4 年）；宁德 → 福州 约 71km。｜提醒：专业/证书与岗位方向关联弱
R351,石佳怡,后端开发工程师,宁德,2,76.47,57.02,80.0,100.0,85.0,100.0,80.0,J1213,高级Java架构师,福建亿安智能技术股份有限公司,福州,15000-20000元·13薪,5-10年,本科,Java|微服务架构|SpringBoot|||,7,13,54.5,71.2,技能命中 7/13（Java、Kafka、Kubernetes、MySQL、PostgreSQL、Redis）；经验不足（要求 ≥5 年，你有 4 年）；宁德 → 福州 约 71km。｜提醒：技能匹配度最低（命中 7/13）
R351,石佳怡,后端开发工程师,宁德,3,76.29,57.61,100.0,100.0,60.0,100.0,80.0,J0029,后端开发,厦门集方物联信息技术有限公司,厦门,9000-13000元·13薪,3-5年,本科,Python|Spring|Redis|||,5,7,46.5,284.1,技能命中 5/7（Golang、Java、Kafka、Python、Redis）；经验满足（要求 3-5 年，你有 4 年）；学历满足（要求本科，你本科）。｜提醒：技能匹配度最低（命中 5/7）
R351,石佳怡,后端开发工程师,宁德,4,76.26,57.52,100.0,100.0,60.0,100.0,80.0,J0043,Java开发工程师,合肥凯捷技术有限公司,厦门,10000-12000元,3-5年,大专,Java|五险一金|绩效奖金|餐补|||||,2,2,29.8,284.1,技能命中 2/2（Java、MySQL）；经验满足（要求 3-5 年，你有 4 年）；学历满足（要求大专，你本科）。｜提醒：技能匹配度最低（命中 2/2）
R351,石佳怡,后端开发工程师,宁德,5,76.14,57.21,100.0,100.0,60.0,100.0,80.0,J0386,golang开发工程师,厦门亿联网络技术股份有限公司,厦门,15000-20000元·16薪,3-5年,本科,Golang,6,12,63.5,284.1,技能命中 6/12（Gin、Golang、Kafka、Kubernetes、MySQL、Redis）；经验满足（要求 3-5 年，你有 4 年）；学历满足（要求本科，你本科）。｜提醒：技能匹配度最低（命中 6/12）
R401,萧然,Java开发工程师,杭州,1,79.78,66.0,100.0,100.0,60.0,100.0,85.0,J7312,软件开发工程师【缴纳五险一金】,苏州汇思企业服务有限公司,苏州,7000-12000元,1-3年,本科,五险一金,3,3,45.0,121.4,技能命中 3/3（Java、MyBatis、SpringBoot）；经验满足（要求 1-3 年，你有 5 年）；学历满足（要求本科，你本科）。｜提醒：跨城（约 121km）
R401,萧然,Java开发工程师,杭州,2,77.35,57.23,100.0,100.0,60.0,100.0,100.0,J4163,java开发工程师（宁波）,北京神州数字科技有限公司,宁波,10000-15000元,3-5年,本科,SpringBoot|SpringCloud|银行,3,4,49.3,141.0,技能命中 3/4（Java、SpringBoot、SpringCloud）；经验满足（要求 3-5 年，你有 5 年）；学历满足（要求本科，你本科）。｜提醒：技能匹配度最低（命中 3/4）
R401,萧然,Java开发工程师,杭州,3,76.4,54.73,100.0,100.0,60.0,100.0,100.0,J4037,java开发工程师,博彦科技承德有限公司,宁波,13000-19000元,5-10年,本科,Spring|MySQL|Java|||,7,14,49.3,141.0,技能命中 7/14（Docker、Java、Linux、MyBatis、RabbitMQ、Redis）；经验满足（要求 5-10 年，你有 5 年）；学历满足（要求本科，你本科）。｜提醒：技能匹配度最低（命中 7/14）
R401,萧然,Java开发工程师,杭州,4,76.27,54.4,100.0,100.0,60.0,100.0,100.0,J7789,昆山全栈工程师（wai包）,郑州海奥软件科技有限公司,苏州,9000-12000元,3-5年,本科,前端开发|后端开发|Vue||||,5,8,45.4,121.4,技能命中 5/8（Java、Linux、MyBatis、Redis、SpringCloud）；经验满足（要求 3-5 年，你有 5 年）；学历满足（要求本科，你本科）。｜提醒：技能匹配度最低（命中 5/8）
R401,萧然,Java开发工程师,杭州,5,76.17,69.13,100.0,100.0,30.0,100.0,85.0,J1256,java工程师（福州）,北京神州数字科技有限公司,福州,8000-12000元,3-5年,本科,SpringCloud|SpringBoot|银行经验||,3,3,52.8,474.6,技能命中 3/3（Java、SpringBoot、SpringCloud）；经验满足（要求 3-5 年，你有 5 年）；学历满足（要求本科，你本科）。｜提醒：跨城（约 475km）
R451,萧雪,后端开发工程师,镇江,1,62.67,58.61,60.0,100.0,30.0,80.0,80.0,J0040,java后端工程师,厦门东思信息技术有限公司,厦门,9000-15000元,Java,,,6,12,55.5,867.1,技能命中 6/12（Java、Kubernetes、MySQL、Redis、SpringBoot、微服务）；学历满足（要求不限，你大专）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：跨城（约 867km）
R451,萧雪,后端开发工程师,镇江,2,61.83,43.77,60.0,100.0,60.0,80.0,80.0,J6739,Java,安徽省即幂人工智能科技有限公司,滁州,4000-5000元,软件/IT服务,,,2,3,26.6,104.2,技能命中 2/3（Java、MySQL）；学历满足（要求不限，你大专）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：技能匹配度最低（命中 2/3）
R451,萧雪,后端开发工程师,镇江,3,60.44,65.38,60.0,60.0,30.0,80.0,80.0,J0064,软件培训工程师,厦门瀚海潮升科技有限公司,厦门,4000-5000元·13薪,职业与技能培训,本科,IT培训|系统培训|线上培训|||,2,2,45.6,867.1,技能命中 2/2（Java、SpringBoot）；岗位经验要求未能解析（按信息缺失中性处理）；薪资信息不全（按中性处理）。｜提醒：跨城（约 867km）
R451,萧雪,后端开发工程师,镇江,4,59.81,51.07,60.0,60.0,60.0,80.0,80.0,J5985,软件测试工程师（培养）,天阳科技,湖州,5000-7000元,功能测试,本科,计算机软件|银行|可提供住宿||,4,7,42.0,157.9,技能命中 4/7（Java、MySQL、Redis、微服务）；岗位经验要求未能解析（按信息缺失中性处理）；镇江 → 湖州 约 158km。｜提醒：技能匹配度最低（命中 4/7）
R451,萧雪,后端开发工程师,镇江,5,59.15,36.72,60.0,100.0,60.0,80.0,80.0,J7783,全栈开发工程师,苏州市哆哆鲤科技有限责任公司,苏州,2-15000元·5薪,Redis,,MongoDB|全栈开发||||||||||,5,18,30.5,147.7,技能命中 5/18（Java、Kubernetes、MySQL、Redis、SpringBoot）；学历满足（要求不限，你大专）；岗位经验要求未能解析（按信息缺失中性处理）。｜提醒：技能匹配度最低（命中 5/18）
